country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Canada,5630,5610,5790,5970,6470,6910,7360,7630,8030,8530,8960,9170,9800,10.2k,10.8k,10.5k,11.1k,11.8k,12.3k,12.4k,12.8k,13.2k,13k,13.5k,14.3k,14.9k,15.4k,15.8k,16.4k,16.5k,16.2k,16.2k,16.2k,16.3k,16.4k,16.5k,16.6k,16.7k,16.4k,16.7k,17k,16.8k,17k,17.2k,17.3k,16.9k,16.5k,16.7k,16.4k,15.5k,15.3k,15.6k,15.3k,15.8k,15.6k,,,,,
Switzerland,3080,3230,3280,3350,3450,3590,3650,3750,3850,4020,4310,4620,4780,5010,5030,4880,5080,5320,5520,5780,5990,6120,6190,6330,6600,6850,6990,7160,7200,7370,7450,7540,7430,7240,7160,7280,7390,7340,7480,7650,7850,7990,8030,8200,8210,8310,8360,8160,8310,8020,8170,7930,7890,7810,7520,,,,,
Chile,,,,,,,,,,,,756,782,752,795,726,763,788,828,870,896,911,879,898,957,977,1020,1040,1110,1190,1220,1300,1440,1500,1570,1730,1910,2050,2160,2370,2470,2600,2700,2870,3030,3060,3190,3310,3310,3270,3280,3560,3780,3850,3860,,,,,
China,,,,,,,,,,,,152,164,176,174,199,204,221,247,267,282,286,299,317,336,363,391,427,462,487,511,549,605,663,727,770,821,853,871,914,993,1080,1190,1380,1590,1780,2040,2330,2450,2610,2940,3300,3470,3760,3910,,,,,
Cote d'Ivoire,,,,,,,,,,,,91.5,98.3,108,111,119,133,143,156,193,179,185,184,175,130,149,150,168,172,158,157,145,149,139,141,169,153,162,175,164,162,169,163,160,159,157,166,171,178,183,196,180,216,215,254,,,,,
Cameroon,,,,,,,,,,,,154,157,154,171,176,167,157,158,157,158,200,225,219,211,231,215,215,217,218,207,200,197,199,174,167,172,183,179,185,182,172,161,174,200,194,255,263,277,274,270,265,255,260,283,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,161,158,166,168,166,161,158,148,142,149,133,127,134,136,142,143,138,138,160,123,119,110,97.9,95.7,102,99,90.8,88.6,89.3,90.1,88.8,83.3,83.8,82.1,83.4,95,98.5,95,100,98.6,102,106,110,102,,,,,
"Congo, Rep.",,,,,,,,,,,,53.4,54.5,59.3,60,62.7,65.4,67.3,69.2,73.2,80.9,68.5,103,99,149,113,175,179,167,169,172,183,175,158,142,149,152,128,111,69.2,94.9,103,114,113,104,115,123,122,132,140,134,141,204,203,193,,,,,
Colombia,,,,,,,,,,,,428,413,446,487,468,484,529,586,626,657,653,678,681,738,773,828,803,823,870,889,889,794,889,927,936,926,933,908,839,857,878,885,888,924,920,973,1000,1000,1080,1110,1150,1180,1320,1320,,,,,
Costa Rica,,,,,,,,,,,,608,654,677,720,732,767,798,850,858,931,963,933,918,989,1010,1070,1140,1140,1070,1070,1120,1410,1330,1270,1290,1250,1370,1320,1440,1520,1500,1570,1650,1690,1730,1830,1900,1900,1850,1900,1890,1950,1950,1950,,,,,
Cuba,,,,,,,,,,,,500,509,543,568,620,669,721,789,865,844,968,1010,1050,1110,997,1070,1090,1140,1180,1210,1040,900,836,895,916,972,1040,1050,1080,1140,1160,1190,1200,1180,1150,1230,1300,1320,1330,1290,1320,1370,1430,1450,,,,,
Cyprus,,,,,,,,,,,,940,1080,1160,1010,1010,1130,1210,1290,1360,1420,1440,1530,1620,1630,1700,1800,1870,2010,2220,2360,2430,2800,2980,3030,2760,2790,2850,3080,3160,3360,3440,3690,3890,3920,4070,4200,4340,4520,4530,4520,4160,3930,3470,3480,,,,,
Czech Republic,,,,,,,,,,,,3420,3600,3730,3860,4030,4170,4290,4500,4390,4590,4640,4680,4810,4960,5140,5260,5450,5500,5580,5600,5260,5080,5030,5190,5470,5730,5660,5600,5490,5700,5890,5890,6070,6230,6360,6530,6520,6490,6140,6350,6300,6300,6280,6260,,,,,
Germany,1590,1680,1790,1920,2060,2190,2300,2360,2580,2820,3830,4060,4340,4650,4800,4740,5150,5290,5570,5790,5800,5830,5820,5970,6240,6450,6530,6670,6780,6840,6640,6560,6450,6290,6240,6330,6400,6430,6480,6510,6640,6760,6900,7010,7110,7140,7210,7230,7190,6820,7260,7280,7270,7220,7040,,,,,
Denmark,1090,1190,1360,1500,1620,1820,1980,2130,2340,2620,2890,3060,3350,3430,3250,3410,3790,4000,4310,4540,4600,4590,4680,4740,4980,5350,5620,5790,5860,5850,5940,6220,6240,6310,6540,6420,6650,6610,6500,6510,6480,6490,6530,6600,6620,6660,6820,6670,6530,6220,6330,6170,6040,6040,5860,,,,,
Dominican Republic,,,,,,,,,,,,335,316,409,372,411,389,429,416,479,447,448,331,369,448,479,487,480,382,335,390,400,542,510,527,497,633,636,1090,1270,1310,1270,1370,1350,1110,1220,1310,1340,1360,1310,1380,1410,1480,1530,1590,,,,,
Algeria,,,,,,,,,,,,141,151,169,182,207,229,241,288,325,341,375,418,429,451,475,493,462,489,530,540,541,568,555,557,566,575,579,621,656,686,712,733,789,806,892,863,894,945,862,1010,1120,1230,1270,1350,,,,,
Ecuador,,,,,,,,,,,,142,147,161,171,193,219,247,286,320,352,376,394,399,401,387,407,440,440,435,470,498,512,508,542,546,607,650,684,633,634,647,689,716,823,793,861,951,1070,1100,1130,1210,1270,1320,1370,,,,,
Egypt,,,,,,,,,,,,204,200,196,216,238,271,305,319,343,376,411,450,492,508,483,572,601,615,635,652,664,666,680,691,708,762,799,838,889,920,967,1010,1070,1110,1180,1240,1320,1360,1430,1460,1560,1560,1560,1560,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.4,69,73.7,73.1,79.4,86,74.8,79.5,76.5,83.9,90.3,93.4,90.4,90.9,85.8,89.3,85.9,90,92.4,95.7,99.4,101,103,,,,,
Spain,495,550,613,664,745,823,926,1030,1150,1290,1420,1530,1700,1870,2020,2050,2260,2290,2400,2530,2640,2670,2660,2790,2900,2980,3000,3090,3220,3440,3540,3610,3690,3640,3760,3920,4010,4320,4480,4820,5170,5420,5580,5680,5890,6110,6110,6050,6030,5650,5710,5600,5570,5410,5360,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5760,5620,4930,4050,4350,4240,4560,4810,4730,4460,4540,4680,4770,5160,5430,5530,5870,6280,6360,5980,6510,6310,6690,6660,6730,,,,,
Ethiopia,,,,,,,,,,,,19.3,19.2,18.3,17.5,16.9,16.3,15.2,15.9,17.4,18.4,19.3,19.8,20.7,21.7,20.3,20.3,20.7,19.6,18.9,22.7,21.9,21.5,23.2,23.5,23.9,24.3,23.7,23.5,22.6,22.4,26.1,25.7,28,30,32.7,36.5,38.4,39.7,40.8,46.8,50.9,55.4,62.1,67.1,,,,,
Finland,1870,2190,2390,2480,2720,2940,3200,3350,3630,4070,4570,4890,5520,6050,6140,5950,6550,6730,7330,7930,8300,8490,8530,9120,9810,10.5k,10.6k,11.4k,11.8k,12k,12.5k,12.5k,12.5k,13k,13.6k,13.6k,13.7k,14.5k,14.8k,15.1k,15.3k,15.7k,16.1k,16.4k,16.8k,16.1k,17.2k,17.2k,16.3k,15.2k,16.5k,15.7k,15.7k,15.5k,15.2k,,,,,
France,1440,1530,1640,1740,1890,1990,2100,2190,2270,2470,2620,2750,2920,3150,3260,3250,3590,3690,3930,4200,4410,4570,4610,4700,4940,5260,5510,5660,5740,5860,5970,6360,6480,6450,6530,6620,6910,6830,7010,7150,7220,7340,7300,7530,7660,7650,7540,7510,7640,7340,7730,7230,7360,7370,6940,,,,,
Gabon,,,,,,,,,,,,184,211,256,293,376,478,633,607,707,703,768,836,891,944,994,997,975,963,806,887,876,855,837,740,745,820,828,887,871,847,864,887,894,872,871,896,918,928,890,904,914,937,1030,1110,,,,,
UK,2410,2550,2780,3000,3130,3330,3430,3510,3760,4010,4170,4250,4370,4670,4530,4490,4590,4670,4730,4920,4680,4570,4480,4550,4600,4830,4950,5080,5230,5300,5360,5450,5450,5490,5380,5580,5820,5830,5910,6010,6110,6140,6140,6170,6140,6270,6200,6100,6020,5640,5700,5470,5450,5410,5130,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3040,2700,2130,1940,1990,1490,1150,1330,1520,1560,1570,1580,1650,1750,1810,1920,1770,1830,1880,1830,2050,2290,2330,2500,2690,,,,,
Ghana,,,,,,,,,,,,301,334,378,384,360,370,375,305,364,385,379,342,151,86.1,152,243,272,289,293,310,324,339,326,328,342,355,380,266,348,320,325,299,212,211,236,285,234,254,253,270,307,333,365,341,,,,,
Gibraltar,,,,,,,,,,,,1670,1650,1710,1660,1750,1780,1730,1720,1820,1810,1880,1980,2050,2060,2140,2220,2210,2370,2800,2720,3230,3570,3690,3780,3840,3890,3920,4050,4190,4370,4410,4490,4600,4600,4830,4930,5000,5290,5480,5500,5240,5340,5650,5850,,,,,
Greece,242,273,305,342,408,475,625,742,803,918,1020,1200,1360,1550,1560,1660,1800,1900,2100,2180,2250,2260,2270,2420,2560,2670,2720,2860,3100,3210,3220,3250,3400,3460,3600,3710,3830,3990,4180,4320,4590,4720,4910,5090,5200,5300,5430,5700,5810,5630,5330,5390,5530,5030,5060,,,,,
Guatemala,,,,,,,,,,,,125,144,152,128,170,203,215,220,227,266,224,196,169,173,182,151,172,169,192,206,211,261,247,270,298,261,241,314,362,329,357,362,450,482,481,534,545,533,542,547,540,539,566,587,,,,,
"Hong Kong, China",,,,,,,,,,,,1300,1310,1420,1350,1440,1610,1800,1950,2000,2160,2230,2360,2620,2790,2920,3200,3850,4070,3940,4180,4400,4510,4700,4840,4850,4920,4970,5330,5270,5450,5550,5650,5710,5780,5880,5880,5910,5880,5950,5970,5960,6030,5940,6080,,,,,
Honduras,,,,,,,,,,,,125,125,141,146,154,160,179,179,203,208,222,219,229,236,280,277,324,336,330,366,350,327,340,303,352,399,412,442,444,488,495,516,539,538,572,582,633,653,621,614,659,631,637,612,,,,,
